T,N,M,Grade,HER2,ER,PR,OncotypeDX
0,1,X,3,Neg,Pos,Pos,N/A
0,1,X,3,Neg,Pos,Neg,N/A
0,1,X,3,Neg,Neg,Pos,N/A
0,1,X,3,Neg,Neg,Neg,N/A
0,1,1,1,Pos,Pos,Pos,N/A
0,1,1,1,Pos,Pos,Neg,N/A
0,1,1,1,Pos,Neg,Pos,N/A
0,1,1,1,Pos,Neg,Neg,N/A
0,1,1,1,Neg,Pos,Pos,N/A
0,1,1,1,Neg,Pos,Neg,N/A
0,1,1,1,Neg,Neg,Pos,N/A
0,1,1,1,Neg,Neg,Neg,N/A
0,1,1,2,Pos,Pos,Pos,N/A
0,1,1,2,Pos,Pos,Neg,N/A
0,1,1,2,Pos,Neg,Pos,N/A
0,1,1,2,Pos,Neg,Neg,N/A
0,1,1,2,Neg,Pos,Pos,N/A
0,1,1,2,Neg,Pos,Neg,N/A
0,1,1,2,Neg,Neg,Pos,N/A
0,1,1,2,Neg,Neg,Neg,N/A
0,1,1,3,Pos,Pos,Pos,N/A
0,1,1,3,Pos,Pos,Neg,N/A
0,1,1,3,Pos,Neg,Pos,N/A
0,1,1,3,Pos,Neg,Neg,N/A
0,1,1,3,Neg,Pos,Pos,N/A
0,1,1,3,Neg,Pos,Neg,N/A
0,1,1,3,Neg,Neg,Pos,N/A
0,1,1,3,Neg,Neg,Neg,N/A
0,2,0,1,Pos,Pos,Pos,N/A
0,2,0,1,Pos,Pos,Neg,N/A
0,2,0,1,Pos,Neg,Pos,N/A
0,2,0,1,Pos,Neg,Neg,N/A
0,2,0,1,Neg,Pos,Pos,N/A
0,2,0,1,Neg,Pos,Neg,N/A
0,2,0,1,Neg,Neg,Pos,N/A
0,2,0,1,Neg,Neg,Neg,N/A
0,2,0,2,Pos,Pos,Pos,N/A
0,2,0,2,Pos,Pos,Neg,N/A
0,2,0,2,Pos,Neg,Pos,N/A
0,2,0,2,Pos,Neg,Neg,N/A
0,2,0,2,Neg,Pos,Pos,N/A
0,2,0,2,Neg,Pos,Neg,N/A
0,2,0,2,Neg,Neg,Pos,N/A
0,2,0,2,Neg,Neg,Neg,N/A
0,2,0,3,Pos,Pos,Pos,N/A
0,2,0,3,Pos,Pos,Neg,N/A
0,2,0,3,Pos,Neg,Pos,N/A
0,2,0,3,Pos,Neg,Neg,N/A
0,2,0,3,Neg,Pos,Pos,N/A
0,2,0,3,Neg,Pos,Neg,N/A
0,2,0,3,Neg,Neg,Pos,N/A
0,2,0,3,Neg,Neg,Neg,N/A
0,2,X,1,Pos,Pos,Pos,N/A
0,2,X,1,Pos,Pos,Neg,N/A
0,2,X,1,Pos,Neg,Pos,N/A
0,2,X,1,Pos,Neg,Neg,N/A
0,2,X,1,Neg,Pos,Pos,N/A
0,2,X,1,Neg,Pos,Neg,N/A
0,2,X,1,Neg,Neg,Pos,N/A
0,2,X,1,Neg,Neg,Neg,N/A
0,2,X,2,Pos,Pos,Pos,N/A
0,2,X,2,Pos,Pos,Neg,N/A
0,2,X,2,Pos,Neg,Pos,N/A
0,2,X,2,Pos,Neg,Neg,N/A
0,2,X,2,Neg,Pos,Pos,N/A
0,2,X,2,Neg,Pos,Neg,N/A
0,2,X,2,Neg,Neg,Pos,N/A
0,2,X,2,Neg,Neg,Neg,N/A
0,2,X,3,Pos,Pos,Pos,N/A
0,2,X,3,Pos,Pos,Neg,N/A
0,2,X,3,Pos,Neg,Pos,N/A
0,2,X,3,Pos,Neg,Neg,N/A
0,2,X,3,Neg,Pos,Pos,N/A
0,2,X,3,Neg,Pos,Neg,N/A
0,2,X,3,Neg,Neg,Pos,N/A
0,2,X,3,Neg,Neg,Neg,N/A
0,2,1,1,Pos,Pos,Pos,N/A
0,2,1,1,Pos,Pos,Neg,N/A
0,2,1,1,Pos,Neg,Pos,N/A
0,2,1,1,Pos,Neg,Neg,N/A
0,2,1,1,Neg,Pos,Pos,N/A
0,2,1,1,Neg,Pos,Neg,N/A
0,2,1,1,Neg,Neg,Pos,N/A
0,2,1,1,Neg,Neg,Neg,N/A
0,2,1,2,Pos,Pos,Pos,N/A
0,2,1,2,Pos,Pos,Neg,N/A
0,2,1,2,Pos,Neg,Pos,N/A
0,2,1,2,Pos,Neg,Neg,N/A
0,2,1,2,Neg,Pos,Pos,N/A
0,2,1,2,Neg,Pos,Neg,N/A
0,2,1,2,Neg,Neg,Pos,N/A
0,2,1,2,Neg,Neg,Neg,N/A
0,2,1,3,Pos,Pos,Pos,N/A
0,2,1,3,Pos,Pos,Neg,N/A
0,2,1,3,Pos,Neg,Pos,N/A
0,2,1,3,Pos,Neg,Neg,N/A
0,2,1,3,Neg,Pos,Pos,N/A
0,2,1,3,Neg,Pos,Neg,N/A
0,2,1,3,Neg,Neg,Pos,N/A
0,2,1,3,Neg,Neg,Neg,N/A
0,3,0,1,Pos,Pos,Pos,N/A
0,3,0,1,Pos,Pos,Neg,N/A
0,3,0,1,Pos,Neg,Pos,N/A
0,3,0,1,Pos,Neg,Neg,N/A
0,3,0,1,Neg,Pos,Pos,N/A
0,3,0,1,Neg,Pos,Neg,N/A
0,3,0,1,Neg,Neg,Pos,N/A
0,3,0,1,Neg,Neg,Neg,N/A
0,3,0,2,Pos,Pos,Pos,N/A
0,3,0,2,Pos,Pos,Neg,N/A
0,3,0,2,Pos,Neg,Pos,N/A
0,3,0,2,Pos,Neg,Neg,N/A
0,3,0,2,Neg,Pos,Pos,N/A
0,3,0,2,Neg,Pos,Neg,N/A
0,3,0,2,Neg,Neg,Pos,N/A
0,3,0,2,Neg,Neg,Neg,N/A
0,3,0,3,Pos,Pos,Pos,N/A
0,3,0,3,Pos,Pos,Neg,N/A
0,3,0,3,Pos,Neg,Pos,N/A
0,3,0,3,Pos,Neg,Neg,N/A
0,3,0,3,Neg,Pos,Pos,N/A
0,3,0,3,Neg,Pos,Neg,N/A
0,3,0,3,Neg,Neg,Pos,N/A
0,3,0,3,Neg,Neg,Neg,N/A
0,3,X,1,Pos,Pos,Pos,N/A
0,3,X,1,Pos,Pos,Neg,N/A
0,3,X,1,Pos,Neg,Pos,N/A
0,3,X,1,Pos,Neg,Neg,N/A
0,3,X,1,Neg,Pos,Pos,N/A
0,3,X,1,Neg,Pos,Neg,N/A
0,3,X,1,Neg,Neg,Pos,N/A
0,3,X,1,Neg,Neg,Neg,N/A
0,3,X,2,Pos,Pos,Pos,N/A
0,3,X,2,Pos,Pos,Neg,N/A
0,3,X,2,Pos,Neg,Pos,N/A
0,3,X,2,Pos,Neg,Neg,N/A
0,3,X,2,Neg,Pos,Pos,N/A
0,3,X,2,Neg,Pos,Neg,N/A
0,3,X,2,Neg,Neg,Pos,N/A
0,3,X,2,Neg,Neg,Neg,N/A
0,3,X,3,Pos,Pos,Pos,N/A
0,3,X,3,Pos,Pos,Neg,N/A
0,3,X,3,Pos,Neg,Pos,N/A
0,3,X,3,Pos,Neg,Neg,N/A
0,3,X,3,Neg,Pos,Pos,N/A
0,3,X,3,Neg,Pos,Neg,N/A
0,3,X,3,Neg,Neg,Pos,N/A
0,3,X,3,Neg,Neg,Neg,N/A
0,3,1,1,Pos,Pos,Pos,N/A
0,3,1,1,Pos,Pos,Neg,N/A
0,3,1,1,Pos,Neg,Pos,N/A
0,3,1,1,Pos,Neg,Neg,N/A
0,3,1,1,Neg,Pos,Pos,N/A
0,3,1,1,Neg,Pos,Neg,N/A
0,3,1,1,Neg,Neg,Pos,N/A
0,3,1,1,Neg,Neg,Neg,N/A
0,3,1,2,Pos,Pos,Pos,N/A
0,3,1,2,Pos,Pos,Neg,N/A
0,3,1,2,Pos,Neg,Pos,N/A
0,3,1,2,Pos,Neg,Neg,N/A
0,3,1,2,Neg,Pos,Pos,N/A
0,3,1,2,Neg,Pos,Neg,N/A
0,3,1,2,Neg,Neg,Pos,N/A
0,3,1,2,Neg,Neg,Neg,N/A
0,3,1,3,Pos,Pos,Pos,N/A
0,3,1,3,Pos,Pos,Neg,N/A
0,3,1,3,Pos,Neg,Pos,N/A
0,3,1,3,Pos,Neg,Neg,N/A
0,3,1,3,Neg,Pos,Pos,N/A
0,3,1,3,Neg,Pos,Neg,N/A
0,3,1,3,Neg,Neg,Pos,N/A
0,3,1,3,Neg,Neg,Neg,N/A
0,0,0,1,Pos,Pos,Pos,N/A
0,0,0,1,Pos,Pos,Neg,N/A
0,0,0,1,Pos,Neg,Pos,N/A
0,0,0,1,Pos,Neg,Neg,N/A
0,0,0,1,Neg,Pos,Pos,N/A
0,0,0,1,Neg,Pos,Neg,N/A
0,0,0,1,Neg,Neg,Pos,N/A
0,0,0,1,Neg,Neg,Neg,N/A
0,0,0,2,Pos,Pos,Pos,N/A
0,0,0,2,Pos,Pos,Neg,N/A
0,0,0,2,Pos,Neg,Pos,N/A
0,0,0,2,Pos,Neg,Neg,N/A
0,0,0,2,Neg,Pos,Pos,N/A
0,0,0,2,Neg,Pos,Neg,N/A
0,0,0,2,Neg,Neg,Pos,N/A
0,0,0,2,Neg,Neg,Neg,N/A
0,0,0,3,Pos,Pos,Pos,N/A
0,0,0,3,Pos,Pos,Neg,N/A
0,0,0,3,Pos,Neg,Pos,N/A
0,0,0,3,Pos,Neg,Neg,N/A
0,0,0,3,Neg,Pos,Pos,N/A
0,0,0,3,Neg,Pos,Neg,N/A
0,0,0,3,Neg,Neg,Pos,N/A
0,0,0,3,Neg,Neg,Neg,N/A
0,0,X,1,Pos,Pos,Pos,N/A
0,0,X,1,Pos,Pos,Neg,N/A
0,0,X,1,Pos,Neg,Pos,N/A
0,0,X,1,Pos,Neg,Neg,N/A
0,0,X,1,Neg,Pos,Pos,N/A
0,0,X,1,Neg,Pos,Neg,N/A
0,0,X,1,Neg,Neg,Pos,N/A
0,0,X,1,Neg,Neg,Neg,N/A
0,0,X,2,Pos,Pos,Pos,N/A
0,0,X,2,Pos,Pos,Neg,N/A
0,0,X,2,Pos,Neg,Pos,N/A
0,0,X,2,Pos,Neg,Neg,N/A
0,0,X,2,Neg,Pos,Pos,N/A
0,0,X,2,Neg,Pos,Neg,N/A
0,0,X,2,Neg,Neg,Pos,N/A
0,0,X,2,Neg,Neg,Neg,N/A
0,0,X,3,Pos,Pos,Pos,N/A
0,0,X,3,Pos,Pos,Neg,N/A
0,0,X,3,Pos,Neg,Pos,N/A
0,0,X,3,Pos,Neg,Neg,N/A
0,0,X,3,Neg,Pos,Pos,N/A
0,0,X,3,Neg,Pos,Neg,N/A
0,0,X,3,Neg,Neg,Pos,N/A
0,0,X,3,Neg,Neg,Neg,N/A
0,0,1,1,Pos,Pos,Pos,N/A
0,0,1,1,Pos,Pos,Neg,N/A
0,0,1,1,Pos,Neg,Pos,N/A
0,0,1,1,Pos,Neg,Neg,N/A
0,0,1,1,Neg,Pos,Pos,N/A
0,0,1,1,Neg,Pos,Neg,N/A
0,0,1,1,Neg,Neg,Pos,N/A
0,0,1,1,Neg,Neg,Neg,N/A
0,0,1,2,Pos,Pos,Pos,N/A
0,0,1,2,Pos,Pos,Neg,N/A
0,0,1,2,Pos,Neg,Pos,N/A
0,0,1,2,Pos,Neg,Neg,N/A
0,0,1,2,Neg,Pos,Pos,N/A
0,0,1,2,Neg,Pos,Neg,N/A
0,0,1,2,Neg,Neg,Pos,N/A
0,0,1,2,Neg,Neg,Neg,N/A
0,0,1,3,Pos,Pos,Pos,N/A
0,0,1,3,Pos,Pos,Neg,N/A
0,0,1,3,Pos,Neg,Pos,N/A
0,0,1,3,Pos,Neg,Neg,N/A
0,0,1,3,Neg,Pos,Pos,N/A
0,0,1,3,Neg,Pos,Neg,N/A
0,0,1,3,Neg,Neg,Pos,N/A
0,0,1,3,Neg,Neg,Neg,N/A
0,X Adjusted,0,1,Pos,Pos,Pos,N/A
0,X Adjusted,0,1,Pos,Pos,Neg,N/A
0,X Adjusted,0,1,Pos,Neg,Pos,N/A
0,X Adjusted,0,1,Pos,Neg,Neg,N/A
0,X Adjusted,0,1,Neg,Pos,Pos,N/A
0,X Adjusted,0,1,Neg,Pos,Neg,N/A
0,X Adjusted,0,1,Neg,Neg,Pos,N/A
0,X Adjusted,0,1,Neg,Neg,Neg,N/A
0,X Adjusted,0,2,Pos,Pos,Pos,N/A
0,X Adjusted,0,2,Pos,Pos,Neg,N/A
0,X Adjusted,0,2,Pos,Neg,Pos,N/A
0,X Adjusted,0,2,Pos,Neg,Neg,N/A
0,X Adjusted,0,2,Neg,Pos,Pos,N/A
0,X Adjusted,0,2,Neg,Pos,Neg,N/A
0,X Adjusted,0,2,Neg,Neg,Pos,N/A
0,X Adjusted,0,2,Neg,Neg,Neg,N/A
0,X Adjusted,0,3,Pos,Pos,Pos,N/A
0,X Adjusted,0,3,Pos,Pos,Neg,N/A
0,X Adjusted,0,3,Pos,Neg,Pos,N/A
0,X Adjusted,0,3,Pos,Neg,Neg,N/A
0,X Adjusted,0,3,Neg,Pos,Pos,N/A
0,X Adjusted,0,3,Neg,Pos,Neg,N/A
0,X Adjusted,0,3,Neg,Neg,Pos,N/A
0,X Adjusted,0,3,Neg,Neg,Neg,N/A
0,X Adjusted,X,1,Pos,Pos,Pos,N/A
0,X Adjusted,X,1,Pos,Pos,Neg,N/A
0,X Adjusted,X,1,Pos,Neg,Pos,N/A
0,X Adjusted,X,1,Pos,Neg,Neg,N/A
0,X Adjusted,X,1,Neg,Pos,Pos,N/A
0,X Adjusted,X,1,Neg,Pos,Neg,N/A
0,X Adjusted,X,1,Neg,Neg,Pos,N/A
0,X Adjusted,X,1,Neg,Neg,Neg,N/A
0,X Adjusted,X,2,Pos,Pos,Pos,N/A
0,X Adjusted,X,2,Pos,Pos,Neg,N/A
0,X Adjusted,X,2,Pos,Neg,Pos,N/A
0,X Adjusted,X,2,Pos,Neg,Neg,N/A
0,X Adjusted,X,2,Neg,Pos,Pos,N/A
0,X Adjusted,X,2,Neg,Pos,Neg,N/A
0,X Adjusted,X,2,Neg,Neg,Pos,N/A
0,X Adjusted,X,2,Neg,Neg,Neg,N/A
0,X Adjusted,X,3,Pos,Pos,Pos,N/A
0,X Adjusted,X,3,Pos,Pos,Neg,N/A
0,X Adjusted,X,3,Pos,Neg,Pos,N/A
0,X Adjusted,X,3,Pos,Neg,Neg,N/A
0,X Adjusted,X,3,Neg,Pos,Pos,N/A
0,X Adjusted,X,3,Neg,Pos,Neg,N/A
0,X Adjusted,X,3,Neg,Neg,Pos,N/A
0,X Adjusted,X,3,Neg,Neg,Neg,N/A
0,X Adjusted,1,1,Pos,Pos,Pos,N/A
0,X Adjusted,1,1,Pos,Pos,Neg,N/A
0,X Adjusted,1,1,Pos,Neg,Pos,N/A
0,X Adjusted,1,1,Pos,Neg,Neg,N/A
0,X Adjusted,1,1,Neg,Pos,Pos,N/A
0,X Adjusted,1,1,Neg,Pos,Neg,N/A
0,X Adjusted,1,1,Neg,Neg,Pos,N/A
0,X Adjusted,1,1,Neg,Neg,Neg,N/A
0,X Adjusted,1,2,Pos,Pos,Pos,N/A
0,X Adjusted,1,2,Pos,Pos,Neg,N/A
0,X Adjusted,1,2,Pos,Neg,Pos,N/A
0,X Adjusted,1,2,Pos,Neg,Neg,N/A
0,X Adjusted,1,2,Neg,Pos,Pos,N/A
0,X Adjusted,1,2,Neg,Pos,Neg,N/A
0,X Adjusted,1,2,Neg,Neg,Pos,N/A
0,X Adjusted,1,2,Neg,Neg,Neg,N/A
0,X Adjusted,1,3,Pos,Pos,Pos,N/A
0,X Adjusted,1,3,Pos,Pos,Neg,N/A
0,X Adjusted,1,3,Pos,Neg,Pos,N/A
0,X Adjusted,1,3,Pos,Neg,Neg,N/A
0,X Adjusted,1,3,Neg,Pos,Pos,N/A
0,X Adjusted,1,3,Neg,Pos,Neg,N/A
0,X Adjusted,1,3,Neg,Neg,Pos,N/A
0,X Adjusted,1,3,Neg,Neg,Neg,N/A
is,1,0,1,Pos,Pos,Pos,N/A
is,1,0,1,Pos,Pos,Neg,N/A
is,1,0,1,Pos,Neg,Pos,N/A
is,1,0,1,Pos,Neg,Neg,N/A
is,1,0,1,Neg,Pos,Pos,N/A
is,1,0,1,Neg,Pos,Neg,N/A
is,1,0,1,Neg,Neg,Pos,N/A
is,1,0,1,Neg,Neg,Neg,N/A
is,1,0,2,Pos,Pos,Pos,N/A
is,1,0,2,Pos,Pos,Neg,N/A
is,1,0,2,Pos,Neg,Pos,N/A
is,1,0,2,Pos,Neg,Neg,N/A
is,1,0,2,Neg,Pos,Pos,N/A
is,1,0,2,Neg,Pos,Neg,N/A
is,1,0,2,Neg,Neg,Pos,N/A
is,1,0,2,Neg,Neg,Neg,N/A
is,1,0,3,Pos,Pos,Pos,N/A
is,1,0,3,Pos,Pos,Neg,N/A
is,1,0,3,Pos,Neg,Pos,N/A
is,1,0,3,Pos,Neg,Neg,N/A
is,1,0,3,Neg,Pos,Pos,N/A
is,1,0,3,Neg,Pos,Neg,N/A
is,1,0,3,Neg,Neg,Pos,N/A
is,1,0,3,Neg,Neg,Neg,N/A
is,1,X,1,Pos,Pos,Pos,N/A
is,1,X,1,Pos,Pos,Neg,N/A
is,1,X,1,Pos,Neg,Pos,N/A
is,1,X,1,Pos,Neg,Neg,N/A
is,1,X,1,Neg,Pos,Pos,N/A
is,1,X,1,Neg,Pos,Neg,N/A
is,1,X,1,Neg,Neg,Pos,N/A
is,1,X,1,Neg,Neg,Neg,N/A
is,1,X,2,Pos,Pos,Pos,N/A
is,1,X,2,Pos,Pos,Neg,N/A
is,1,X,2,Pos,Neg,Pos,N/A
is,1,X,2,Pos,Neg,Neg,N/A
is,1,X,2,Neg,Pos,Pos,N/A
is,1,X,2,Neg,Pos,Neg,N/A
is,1,X,2,Neg,Neg,Pos,N/A
is,1,X,2,Neg,Neg,Neg,N/A
is,1,X,3,Pos,Pos,Pos,N/A
is,1,X,3,Pos,Pos,Neg,N/A
is,1,X,3,Pos,Neg,Pos,N/A
is,1,X,3,Pos,Neg,Neg,N/A
is,1,X,3,Neg,Pos,Pos,N/A
is,1,X,3,Neg,Pos,Neg,N/A
is,1,X,3,Neg,Neg,Pos,N/A
is,1,X,3,Neg,Neg,Neg,N/A
is,1,1,1,Pos,Pos,Pos,N/A
is,1,1,1,Pos,Pos,Neg,N/A
is,1,1,1,Pos,Neg,Pos,N/A
is,1,1,1,Pos,Neg,Neg,N/A
is,1,1,1,Neg,Pos,Pos,N/A
is,1,1,1,Neg,Pos,Neg,N/A
is,1,1,1,Neg,Neg,Pos,N/A
is,1,1,1,Neg,Neg,Neg,N/A
is,1,1,2,Pos,Pos,Pos,N/A
is,1,1,2,Pos,Pos,Neg,N/A
is,1,1,2,Pos,Neg,Pos,N/A
is,1,1,2,Pos,Neg,Neg,N/A
is,1,1,2,Neg,Pos,Pos,N/A
is,1,1,2,Neg,Pos,Neg,N/A
is,1,1,2,Neg,Neg,Pos,N/A
is,1,1,2,Neg,Neg,Neg,N/A
is,1,1,3,Pos,Pos,Pos,N/A
is,1,1,3,Pos,Pos,Neg,N/A
is,1,1,3,Pos,Neg,Pos,N/A
is,1,1,3,Pos,Neg,Neg,N/A
is,1,1,3,Neg,Pos,Pos,N/A
is,1,1,3,Neg,Pos,Neg,N/A
is,1,1,3,Neg,Neg,Pos,N/A
is,1,1,3,Neg,Neg,Neg,N/A
is,2,0,1,Pos,Pos,Pos,N/A
is,2,0,1,Pos,Pos,Neg,N/A
is,2,0,1,Pos,Neg,Pos,N/A
is,2,0,1,Pos,Neg,Neg,N/A
is,2,0,1,Neg,Pos,Pos,N/A
is,2,0,1,Neg,Pos,Neg,N/A
is,2,0,1,Neg,Neg,Pos,N/A
is,2,0,1,Neg,Neg,Neg,N/A
is,2,0,2,Pos,Pos,Pos,N/A
is,2,0,2,Pos,Pos,Neg,N/A
is,2,0,2,Pos,Neg,Pos,N/A
is,2,0,2,Pos,Neg,Neg,N/A
is,2,0,2,Neg,Pos,Pos,N/A
is,2,0,2,Neg,Pos,Neg,N/A
is,2,0,2,Neg,Neg,Pos,N/A
is,2,0,2,Neg,Neg,Neg,N/A
is,2,0,3,Pos,Pos,Pos,N/A
is,2,0,3,Pos,Pos,Neg,N/A
is,2,0,3,Pos,Neg,Pos,N/A
is,2,0,3,Pos,Neg,Neg,N/A
is,2,0,3,Neg,Pos,Pos,N/A
is,2,0,3,Neg,Pos,Neg,N/A
is,2,0,3,Neg,Neg,Pos,N/A
is,2,0,3,Neg,Neg,Neg,N/A
is,2,X,1,Pos,Pos,Pos,N/A
is,2,X,1,Pos,Pos,Neg,N/A
is,2,X,1,Pos,Neg,Pos,N/A
is,2,X,1,Pos,Neg,Neg,N/A
is,2,X,1,Neg,Pos,Pos,N/A
is,2,X,1,Neg,Pos,Neg,N/A
is,2,X,1,Neg,Neg,Pos,N/A
is,2,X,1,Neg,Neg,Neg,N/A
is,2,X,2,Pos,Pos,Pos,N/A
is,2,X,2,Pos,Pos,Neg,N/A
is,2,X,2,Pos,Neg,Pos,N/A
is,2,X,2,Pos,Neg,Neg,N/A
is,2,X,2,Neg,Pos,Pos,N/A
is,2,X,2,Neg,Pos,Neg,N/A
is,2,X,2,Neg,Neg,Pos,N/A
is,2,X,2,Neg,Neg,Neg,N/A
is,2,X,3,Pos,Pos,Pos,N/A
is,2,X,3,Pos,Pos,Neg,N/A
is,2,X,3,Pos,Neg,Pos,N/A
is,2,X,3,Pos,Neg,Neg,N/A
is,2,X,3,Neg,Pos,Pos,N/A
is,2,X,3,Neg,Pos,Neg,N/A
is,2,X,3,Neg,Neg,Pos,N/A
is,2,X,3,Neg,Neg,Neg,N/A
is,2,1,1,Pos,Pos,Pos,N/A
is,2,1,1,Pos,Pos,Neg,N/A
is,2,1,1,Pos,Neg,Pos,N/A
is,2,1,1,Pos,Neg,Neg,N/A
is,2,1,1,Neg,Pos,Pos,N/A
is,2,1,1,Neg,Pos,Neg,N/A
is,2,1,1,Neg,Neg,Pos,N/A
is,2,1,1,Neg,Neg,Neg,N/A
is,2,1,2,Pos,Pos,Pos,N/A
is,2,1,2,Pos,Pos,Neg,N/A
is,2,1,2,Pos,Neg,Pos,N/A
is,2,1,2,Pos,Neg,Neg,N/A
is,2,1,2,Neg,Pos,Pos,N/A
is,2,1,2,Neg,Pos,Neg,N/A
is,2,1,2,Neg,Neg,Pos,N/A
is,2,1,2,Neg,Neg,Neg,N/A
is,2,1,3,Pos,Pos,Pos,N/A
is,2,1,3,Pos,Pos,Neg,N/A
is,2,1,3,Pos,Neg,Pos,N/A
is,2,1,3,Pos,Neg,Neg,N/A
is,2,1,3,Neg,Pos,Pos,N/A
is,2,1,3,Neg,Pos,Neg,N/A
is,2,1,3,Neg,Neg,Pos,N/A
is,2,1,3,Neg,Neg,Neg,N/A
is,3,0,1,Pos,Pos,Pos,N/A
is,3,0,1,Pos,Pos,Neg,N/A
is,3,0,1,Pos,Neg,Pos,N/A
is,3,0,1,Pos,Neg,Neg,N/A
is,3,0,1,Neg,Pos,Pos,N/A
is,3,0,1,Neg,Pos,Neg,N/A
is,3,0,1,Neg,Neg,Pos,N/A
is,3,0,1,Neg,Neg,Neg,N/A
is,3,0,2,Pos,Pos,Pos,N/A
is,3,0,2,Pos,Pos,Neg,N/A
is,3,0,2,Pos,Neg,Pos,N/A
is,3,0,2,Pos,Neg,Neg,N/A
is,3,0,2,Neg,Pos,Pos,N/A
is,3,0,2,Neg,Pos,Neg,N/A
is,3,0,2,Neg,Neg,Pos,N/A
is,3,0,2,Neg,Neg,Neg,N/A
is,3,0,3,Pos,Pos,Pos,N/A
is,3,0,3,Pos,Pos,Neg,N/A
is,3,0,3,Pos,Neg,Pos,N/A
is,3,0,3,Pos,Neg,Neg,N/A
is,3,0,3,Neg,Pos,Pos,N/A
is,3,0,3,Neg,Pos,Neg,N/A
is,3,0,3,Neg,Neg,Pos,N/A
is,3,0,3,Neg,Neg,Neg,N/A
is,3,X,1,Pos,Pos,Pos,N/A
is,3,X,1,Pos,Pos,Neg,N/A
is,3,X,1,Pos,Neg,Pos,N/A
is,3,X,1,Pos,Neg,Neg,N/A
is,3,X,1,Neg,Pos,Pos,N/A
is,3,X,1,Neg,Pos,Neg,N/A
is,3,X,1,Neg,Neg,Pos,N/A
is,3,X,1,Neg,Neg,Neg,N/A
is,3,X,2,Pos,Pos,Pos,N/A
is,3,X,2,Pos,Pos,Neg,N/A
is,3,X,2,Pos,Neg,Pos,N/A
is,3,X,2,Pos,Neg,Neg,N/A
is,3,X,2,Neg,Pos,Pos,N/A
is,3,X,2,Neg,Pos,Neg,N/A
is,3,X,2,Neg,Neg,Pos,N/A
is,3,X,2,Neg,Neg,Neg,N/A
is,3,X,3,Pos,Pos,Pos,N/A
is,3,X,3,Pos,Pos,Neg,N/A
is,3,X,3,Pos,Neg,Pos,N/A
is,3,X,3,Pos,Neg,Neg,N/A
is,3,X,3,Neg,Pos,Pos,N/A
is,3,X,3,Neg,Pos,Neg,N/A
is,3,X,3,Neg,Neg,Pos,N/A
is,3,X,3,Neg,Neg,Neg,N/A
is,3,1,1,Pos,Pos,Pos,N/A
is,3,1,1,Pos,Pos,Neg,N/A
is,3,1,1,Pos,Neg,Pos,N/A
is,3,1,1,Pos,Neg,Neg,N/A
is,3,1,1,Neg,Pos,Pos,N/A
is,3,1,1,Neg,Pos,Neg,N/A
is,3,1,1,Neg,Neg,Pos,N/A
is,3,1,1,Neg,Neg,Neg,N/A
is,3,1,2,Pos,Pos,Pos,N/A
is,3,1,2,Pos,Pos,Neg,N/A
is,3,1,2,Pos,Neg,Pos,N/A
is,3,1,2,Pos,Neg,Neg,N/A
is,3,1,2,Neg,Pos,Pos,N/A
is,3,1,2,Neg,Pos,Neg,N/A
